id,case_id,lot_id,tenant_id,snapshot_id,dataset_version,expected_disposition,expected_status,primary_reason,expected_missing_classes,expected_stale_record_ids,expected_conflict_groups,forbidden_record_ids,review_status,evaluator_alias,created_at
9de5c03f-4327-5028-aa6e-93cc21c22d87,HX-V2-CASE-001,HX-V2-LOT-001,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,PASS,COMPLETED,All mandatory records are current and mutually consistent.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
2edfbf90-7f6e-536c-8d53-df1e01b8a9a4,HX-V2-CASE-002,HX-V2-LOT-002,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,HOLD,COMPLETED,The accepted inspection record reports a critical defect.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
4ac57a8e-4c1b-57cf-a10a-f87249f8b781,HX-V2-CASE-003,HX-V2-LOT-003,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,HOLD,COMPLETED,The certificate of analysis is invalid.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
e3192e5b-547a-567d-83f8-fc3027097fbf,HX-V2-CASE-004,HX-V2-LOT-004,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,HOLD,COMPLETED,The three most recent supplier/part quality events failed.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
d359fdd4-aa98-514f-be75-6fea1ca8bde6,HX-V2-CASE-005,HX-V2-LOT-005,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,HOLD,COMPLETED,The connected equipment calibration is expired at the pinned time.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
799e6bf9-594e-586a-920d-00872bf0a28e,HX-V2-CASE-006,HX-V2-LOT-006,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,HOLD,COMPLETED,The observed part revision does not match the active released revision.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
a03dda9a-4957-5bbd-837b-ee8b33d3b596,HX-V2-CASE-007,HX-V2-LOT-007,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,ESCALATE,COMPLETED,An open connected deviation requires review.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
c0019bf2-74b7-51df-85a7-57f813641e79,HX-V2-CASE-008,HX-V2-LOT-008,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,PASS,COMPLETED,The connected historical deviation was closed before the pinned time.,{},{},[],{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
37dca314-53a2-5e6a-99c4-5907f5400d99,HX-V2-CASE-009,HX-V2-LOT-009,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,ESCALATE,COMPLETED,An authorized signed note conflicts with the accepted inspection.,{},{},"[{""record_ids"":[""QMS-INS-HX-V2-LOT-009"",""MLOG-NOTE-HX-V2-LOT-009""],""type"":""narrative_structured_conflict""}]",{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
3acfc57f-fb7f-5961-bb12-80f610296432,HX-V2-CASE-010,HX-V2-LOT-010,HX-TENANT-ALPHA,hx-mfg-v1-snapshot-001,1.0.0,ESCALATE,COMPLETED,Two engineering revisions are simultaneously active and released.,{},{},"[{""record_ids"":[""PLM-REV-HX-V2-PART-010-C"",""PLM-REV-HX-V2-PART-010-B""],""type"":""simultaneous_active_revisions""}]",{},REVIEWED,SYNTHETIC-EVAL-REVIEWER-01,2026-08-01T12:05:00Z
